工	aaa
驹	cgq
驳	cgr
骠	cgs
骄	cgt
骈	cgu
验	cgw
驴	cgy
邰	ckb
怠	ckn
炱	cko
迨	ckp
观	cmq
巴	cnh
鸡	cqg
物	cqr
欢	cqw
矣	ctd
牿	ctf
牲	ctg
犍	cvg
皴	cwt
难	cwy
蚤	cyj
犒	cym
犏	cyn
砑	dah
礴	dai
厝	daj
砸	dam
碟	dan
礞	dap
奁	dar
硗	dat
砌	dav
礤	daw
硭	day
顾	dbd
础	dbm
磉	dcc
碜	dcd
码	dcg
雄	dcw
磊	ddd
碱	ddg
厦	ddh
厣	ddl
硕	ddm
魇	ddr
厮	ddw
郁	deb
髦	dee
髻	def
髭	deh
鬟	del
髯	dem
鬃	dep
鹕	deq
鬈	deu
髫	dev
髹	dew
奔	dfa
磕	dfc
辰	dfe
奎	dff
奈	dfi
砖	dfn
奢	dft
压	dfy
研	dga
砘	dgb
古	dgh
硬	dgj
咸	dgk
礓	dgl
碛	dgm
厉	dgq
砰	dgu
威	dgv
碡	dgx
戛	dha
存	dhb
慧	dhd
甭	dhe
在	dhf
歪	dhg
蹙	dhi
还	dhp
艳	dhq
夏	dht
契	dhv
磲	dia
硝	die
砂	dit
厚	djb
厘	djf
碍	djg
砷	djh
奄	djn
碣	djq
面	dlj
碘	dma
碳	dmd
碉	dmf
硐	dmg
布	dmh
厕	dmj
砚	dmq
碾	dna
嘏	dnh
尴	dnj
盛	dnl
尥	dnq
砀	dnr
尬	dnw
尤	dny
盔	dol
磷	doq
碹	dpg
碗	dpq
牵	dpt
砣	dpx
砥	dqa
兢	dqd
确	dqe
鸪	dqg
砍	dqw
愿	dri
原	dri
爽	drr
碑	drt
厢	dsh
碴	dsj
奇	dsk
邦	dtb
寿	dtf
砟	dth
硌	dtk
硇	dtl
砾	dtn
砭	dtp
硪	dtr
磋	dua
劂	dub
磙	duc
鹩	duj
碚	duk
碰	duo
磁	dux
厩	dva
肆	dvg
碌	dvi
砼	dwa
期	dwe
基	dwf
奉	dwg
春	dwj
欺	dwq
斯	dwr
秦	dwt
雁	dww
綦	dwx
矾	dwy
砩	dxj
砒	dxx
聋	dxy
龙	dxy
礅	dyb
硫	dyc
态	dyn
磅	dyu
碎	dyw
腻	eaf
胨	eai
朦	eap
毁	eaw
郛	ebb
服	ebc
乳	ebn
胫	eca
胎	eck
毪	ect
肱	edc
胯	edf
胚	edh
貊	edj
腼	edl
须	edm
腠	edw
胧	edx
肽	edy
脬	eeb
月	eee
鹏	eeq
胁	eew
肢	efc
肼	efj
膨	efk
腩	efm
肟	efn
脖	efp
朊	efq
豺	eft
肫	egb
县	egc
爰	egd
助	ege
膈	egk
肺	egm
雎	egw
胰	egx
叟	ehc
腓	ehd
胩	ehh
毡	ehk
胪	ehn
胱	eig
盥	eil
膛	eip
胆	ejg
腽	ejl
腥	ejt
驾	ekc
肿	ekh
腭	ekk
贺	ekm
迦	ekp
架	eks
袈	eky
胭	eld
舅	ele
舆	elg
腮	eln
爵	elv
腆	ema
胴	emg
觅	emq
肭	emw
脲	eni
肠	enr
鼠	enu
脏	eof
毯	eoo
膦	eoq
臁	eou
腑	eow
受	epc
爱	epd
脓	epe
腙	epf
腚	epg
腕	epq
膑	epr
胺	epv
腔	epw
胝	eqa
脆	eqd
氇	eqg
朐	eqk
胞	eqn
舄	eqo
胸	eqr
肷	eqw
豹	eqy
胍	erc
腺	eri
邈	erq
貌	erq
脎	ers
脾	ert
彩	ese
膊	esf
腰	esv
膝	esw
胀	eta
遥	etf
胜	etg
臼	eth
腹	etj
胳	etk
貔	etl
用	etn
彡	ett
豸	ety
胼	eua
朕	eud
胖	eug
臆	euj
脱	euk
氆	euo
胶	eur
膳	euu
毽	evg
貂	evk
腿	evp
股	ewc
胗	ewe
脍	ewf
脸	ewg
貅	ews
脞	eww
奚	exd
脂	exj
脐	eyj
膻	eyl
脉	eyn
脑	eyr
膀	eyu
肮	eyw
臃	eyx
霰	fae
霸	faf
哉	fak
载	fal
贲	fam
堞	fan
栽	fas
塔	faw
裁	fay
圾	fby
却	fcb
动	fce
盍	fcl
翅	fcn
运	fcp
魂	fcr
埃	fct
雳	fde
震	fdf
坏	fdh
埯	fdj
需	fdm
城	fdn
塬	fdr
堪	fdw
垅	fdx
堋	fee
埒	fef
霾	fej
霓	feq
协	few
坛	ffc
填	ffh
款	ffi
雩	ffn
堵	fft
墙	ffu
垤	fgc
圩	fgf
士	fgh
垣	fgj
塥	fgk
垭	fgo
坪	fgu
越	fha
趣	fhb
霏	fhd
趄	fhe
矗	fhf
赴	fhh
趟	fhi
坫	fhk
盐	fhl
起	fhn
墟	fho
趋	fhq
赵	fhr
趱	fht
超	fhv
真	fhw
霄	fie
霈	fig
墚	fiv
戟	fja
朝	fje
埋	fjf
坦	fjg
坤	fjh
墁	fjl
塌	fjn
进	fjp
埸	fjq
乾	fjt
翰	fjw
颉	fkd
袁	fke
埕	fkg
酃	fkk
埚	fkm
喜	fku
塄	fly
垌	fmg
垲	fmn
献	fmu
韦	fnh
墀	fni
霹	fnk
卖	fnu
块	fnw
坭	fnx
专	fny
郝	fob
赫	fof
塘	fov
勃	fpb
垸	fpf
壹	fpg
毂	fpl
壶	fpo
壳	fpw
索	fpx
坻	fqa
顽	fqd
鼋	fqk
雹	fqn
远	fqp
均	fqu
坎	fqw
坂	frc
垢	frg
埤	frt
坼	fry
耢	fsa
耔	fsb
耙	fsc
耨	fsd
耗	fse
博	fsf
霜	fsh
耦	fsj
坷	fsk
耜	fsn
耱	fso
霖	fss
耠	fsw
孝	ftb
嫠	ftd
雾	fte
霆	ftf
考	ftg
埏	fth
者	ftj
垧	ftm
埠	ftn
老	ftx
丧	fue
幸	fuf
境	fuj
培	fuk
啬	ful
增	ful
霎	fuv
埭	fvi
埽	fvp
逵	fwf
堠	fwn
垛	fws
赍	fww
堆	fwy
墩	fyb
霁	fyj
壤	fyk
垓	fyn
壕	fyp
垴	fyr
坑	fyw
邢	gab
形	gae
武	gah
瑾	gak
盏	gal
瑛	gam
珙	gaw
屯	gbn
至	gcf
玛	gcg
瑚	gde
环	gdh
蚕	gdj
吞	gdk
顼	gdm
忝	gdn
琦	gds
琪	gdw
珑	gdx
瑗	geg
珈	gek
靓	gem
逐	gep
静	geq
瑶	get
珐	gfc
盂	gfl
玮	gfn
迂	gfp
玩	gfq
琶	ggc
琢	gge
王	ggg
五	ggh
球	ggi
替	ggj
辇	ggl
一	ggl
瑟	ggn
琴	ggw
琵	ggx
珏	ggy
焉	ghg
玷	ghk
忑	ghn
璨	ghq
政	ght
琥	ghw
琐	gim
裘	giy
求	giy
理	gjf
亘	gjg
惠	gjh
更	gjr
琨	gjx
囊	gkh
副	gkl
融	gkm
带	gkp
吏	gkr
豆	gku
事	gkv
画	glb
琏	glp
遭	gma
瑞	gmd
再	gmf
珊	gmm
规	gmq
丙	gmw
丽	gmy
珉	gna
琚	gnd
欤	gng
与	gng
瑕	gnh
瓦	gnn
垩	gof
晋	goj
恶	gon
琰	goo
严	got
璞	gou
瑭	gov
琮	gpf
珲	gpl
琬	gpq
殛	gqb
殆	gqc
殍	gqe
殖	gqf
残	gqg
列	gqj
趸	gqk
殃	gqm
迈	gqp
殉	gqq
殊	gqt
殚	gqu
殁	gqw
死	gqx
玖	gqy
碧	grd
瑰	grq
珂	gsk
琳	gss
珠	gtf
珩	gtg
珞	gtk
璁	gtl
夹	gud
平	guf
璋	guj
赉	gus
来	gus
妻	gvh
瑙	gvt
玳	gwa
珍	gwe
瑜	gwg
玢	gwv
玲	gwy
纛	gxh
素	gxi
夷	gxw
琉	gyc
斑	gyg
琼	gyi
璃	gyr
班	gyt
琅	gyv
虐	hag
瞄	hal
眍	har
眙	hck
睃	hcw
睚	hdf
悲	hdh
瞍	heh
瞬	hep
睨	heq
睬	hes
歧	hfc
眭	hff
睹	hft
睦	hfw
盹	hgb
遽	hge
睛	hge
盱	hgf
凸	hgh
睐	hgu
睫	hgv
频	hhd
止	hhg
目	hhh
丨	hhl
矍	hhw
眦	hhx
督	hic
叔	hic
瞠	hip
眇	hit
桌	hjs
战	hka
虞	hkg
觇	hkm
乩	hkn
点	hko
卣	hln
鹾	hlr
卤	hlr
眠	hna
瞰	hnb
鼎	hnd
凹	hnh
鸬	hnq
瞩	hnt
觑	hom
瞵	hoq
瞎	hpd
壑	hpg
瞑	hpj
眈	hpq
粲	hqc
餐	hqc
瞻	hqd
眺	hqi
眵	hqq
睁	hqv
瞟	hsf
睡	htg
瞅	hto
眨	htp
瞳	huj
睇	hux
齿	hwb
彪	hwe
瞪	hwg
瞧	hwy
砦	hxd
些	hxf
赀	hxm
觜	hxq
柴	hxs
雌	hxw
紫	hxx
訾	hxy
眩	hyx
漭	iad
懑	iag
漠	iaj
灌	iak
潢	iam
涝	iap
鸿	iaq
沤	iar
柒	ias
浇	iat
沏	iav
洪	iaw
滠	ibc
泐	ibe
涵	ibi
婆	ibv
滁	ibw
汲	iby
泾	ica
渗	icd
涌	ice
泽	icg
治	ick
滩	icw
汊	icy
湖	ide
涯	idf
滟	idh
尜	idi
淹	idj
湎	idl
源	idr
涛	idt
潦	idu
湛	idw
泷	idx
汰	idy
浮	ieb
淝	iec
滔	iee
沮	ieg
溲	ieh
削	iej
逍	iep
淫	iet
溪	iex
灞	ifa
法	ifc
濡	ifd
潮	ifj
洁	ifk
污	ifn
渤	ifp
沅	ifq
渚	ift
浅	iga
沌	igb
添	igd
清	ige
沔	igh
洹	igj
滞	igk
渍	igm
洌	igq
光	igq
沫	igs
浃	igu
兴	igw
涉	ihh
淑	ihi
淖	ihj
沾	ihk
浈	ihm
滤	ihn
瀣	ihq
滹	iht
小	iht
濉	ihw
消	iie
淼	iii
水	iii
淌	iim
沙	iit
瀑	ija
温	ijl
溻	ijn
湿	ijo
渴	ijq
滥	ijt
混	ijx
灏	ijy
涓	ike
潞	ikh
溃	ikh
渑	ikj
澡	ikk
涡	ikm
涸	ild
渭	ile
涠	ilf
洄	ilk
涟	ilp
渐	ilr
泅	ilw
漯	ilx
澧	ima
湍	imd
滑	ime
溅	img
测	imj
尚	imk
涔	imw
泯	ina
潺	inb
漏	inf
渥	ing
湄	inh
涮	inm
汤	inr
泌	int
濯	inw
泥	inx
渡	ioa
瀵	iol
淡	ioo
濂	iou
溏	iov
漉	iox
黉	ipa
学	ipb
浓	ipe
尝	ipf
泻	ipg
泶	ipi
渖	ipj
常	ipk
浑	ipl
觉	ipm
涫	ipn
沈	ipq
滨	ipr
泞	ips
喾	ipt
滓	ipu
沉	ipw
沱	ipx
沟	iqc
澹	iqd
洮	iqi
洵	iqj
浼	iqk
涣	iqm
泡	iqn
淘	iqt
汹	irb
淆	ird
派	ire
浙	irr
浜	irw
激	iry
漂	isf
潭	isj
河	isk
淅	isr
淋	iss
漆	isw
弊	ita
沲	itb
活	itd
滗	ite
洗	itf
洚	itg
省	ith
潲	iti
洛	itk
洫	itl
澳	itm
憋	itn
潘	ito
泛	itp
鳖	itq
涤	its
海	itx
溯	iub
滚	iuc
湔	iue
漳	iuj
涪	iuk
澜	ius
溢	iuw
滋	iux
溉	iva
浔	ivf
渌	ivi
沼	ivk
淄	ivl
浸	ivp
染	ivs
梁	ivw
涩	ivy
沧	iwb
没	iwc
脊	iwe
浍	iwf
洽	iwg
沿	iwk
濮	iwo
滏	iwr
汾	iwv
浴	iww
沦	iwx
淮	iwy
泓	ixc
沸	ixj
涨	ixt
溺	ixu
潍	ixw
淳	iyb
流	iyc
瀛	iye
注	iyg
汴	iyh
浏	iyj
济	iyj
澶	iyl
沪	iyn
湾	iyo
濠	iyp
漓	iyr
洲	iyt
滴	iyu
浪	iyv
液	iyw
泫	iyx
蟒	jad
蚜	jah
蜡	jaj
蜮	jak
蠛	jal
蟥	jam
蝶	jan
蠓	jap
蛲	jat
晓	jat
暴	jaw
最	jbc
蜢	jbl
肾	jce
蛏	jcf
坚	jcf
蚂	jcg
贤	jcm
蛑	jct
竖	jcu
紧	jcx
蝴	jde
蝰	jdf
晨	jdf
蚌	jdh
晟	jdn
螈	jdr
蝽	jdw
蜉	jeb
暖	jeg
螋	jeh
盟	jel
暧	jep
野	jfc
蛙	jff
蟛	jfk
蝻	jfm
暑	jft
蛭	jgc
昊	jgd
晴	jge
题	jgh
蟪	jgj
量	jgj
晤	jgk
师	jgm
蛱	jgu
勖	jhe
畅	jhn
蛸	jie
晃	jig
螳	jip
曝	jja
蛳	jjg
晶	jjj
蝎	jjq
蜾	jjs
蜈	jkg
蝇	jkj
蜗	jkm
曼	jlc
蝈	jlg
蛔	jlk
螺	jlx
蛐	jma
映	jmd
蚺	jmf
帅	jmh
蚬	jmq
蚋	jmw
暇	jnh
遢	jnp
曳	jnt
曜	jnw
昵	jnx
蝼	jov
暄	jpg
螟	jpj
晕	jpl
蜿	jpq
晏	jpv
蛇	jpx
昂	jqb
蟾	jqd
晁	jqi
冕	jqk
易	jqr
昴	jqt
昀	jqu
遏	jqw
蜱	jrt
颗	jsd
螵	jsf
蚵	jsk
夥	jsq
晰	jsr
蜂	jtd
蛛	jtf
星	jtg
昨	jth
蜊	jtj
晌	jtm
虼	jtn
蟠	jto
蛾	jtr
蝌	jtu
晦	jtx
览	jty
蜷	jug
蝉	juj
暗	juj
蜕	juk
蜣	jun
蛟	jur
蝤	jus
蟮	juu
昭	jvk
蚣	jwc
暌	jwg
蛤	jwg
蚧	jwj
晔	jwx
蛉	jwy
蚴	jxe
蚓	jxh
蚍	jxx
昆	jxx
暾	jyb
蛀	jyg
景	jyi
蛴	jyj
曩	jyk
蝙	jyn
蚁	jyr
蝣	jyt
螃	jyu
螂	jyv
蟀	jyx
喏	kad
嘞	kaf
哐	kag
呀	kah
噶	kaj
喵	kal
咂	kam
呓	kan
唠	kap
哎	kar
哓	kat
哄	kaw
嚆	kay
嗫	kbc
咄	kbm
吼	kbn
啊	kbs
吸	kby
嗓	kcc
嗵	kce
吗	kcg
吮	kcq
唉	kct
唆	kcw
呃	kdb
呖	kde
喹	kdf
嘎	kdh
喱	kdj
顺	kdm
咴	kdo
哒	kdp
嘹	kdu
嘶	kdw
咙	kdx
咀	keg
嗖	keh
别	kej
咖	kek
嚼	kel
嗳	kep
鹃	keq
喷	kfa
吱	kfc
嚅	kfd
哇	kff
嗔	kfh
嘲	kfj
嘻	kfk
鄙	kfl
喃	kfm
哧	kfo
噎	kfp
呒	kfq
哮	kft
嚯	kfw
吨	kgb
吴	kgd
啄	kge
吓	kgh
哽	kgj
囔	kgk
嘈	kgm
饕	kgn
号	kgn
哑	kgo
逞	kgp
咧	kgq
唛	kgt
嗉	kgx
距	kha
趿	khb
踊	khc
跨	khd
啃	khe
跬	khf
践	khg
趾	khh
踏	khi
踢	khj
躁	khk
盅	khl
蹦	khm
忠	khn
嘘	kho
踪	khp
跑	khq
踬	khr
路	kht
蹉	khu
跟	khv
趴	khw
嘴	khx
啵	kib
哨	kie
咣	kig
唢	kim
嗨	kit
吵	kit
嘬	kjb
哩	kjf
呻	kjh
唱	kjj
喁	kjm
黾	kjn
喝	kjq
骂	kkc
器	kkd
鄂	kkf
串	kkh
品	kkk
鼍	kkl
咒	kkw
咽	kld
喟	kle
嘿	klf
喂	klg
嗣	kma
郧	kmb
喘	kmd
勋	kme
啁	kmf
吊	kmh
嘤	kmm
哕	kmq
呐	kmw
叼	kng
叫	knh
噼	knk
唰	knm
嘱	knt
呢	knx
啖	koo
嘛	kos
噗	kou
喽	kov
噻	kpa
哝	kpe
啶	kpg
喧	kpg
嘧	kpn
咛	kps
喀	kpt
嚓	kpw
鸣	kqg
唤	kqm
咆	kqn
哆	kqq
吻	kqr
啕	kqt
吹	kqw
唣	kra
呱	krc
嗥	krd
哌	kre
啪	krr
啤	krt
啦	kru
嘌	ksf
喳	ksj
呵	ksk
噤	kss
噬	kta
唾	ktg
咱	kth
咯	ktk
响	ktm
呜	ktn
吃	ktn
啾	kto
哦	ktr
呼	ktu
嗟	kua
嗍	kub
喑	kuj
噌	kul
咬	kur
唼	kuv
嗌	kuw
唧	kvb
呶	kvc
啸	kvh
呛	kwb
嗡	kwc
咐	kwf
哈	kwg
嗲	kwr
咻	kws
吩	kwv
唑	kww
哗	kwx
呦	kxe
吲	kxh
哟	kxq
哔	kxx
哼	kyb
唷	kyc
哜	kyj
嚷	kyk
咏	kyn
嚎	kyp
嗾	kyt
啼	kyu
啷	kyv
吭	kyw
轼	laa
墼	lbw
轻	lca
轰	lcc
轭	ldb
囿	lde
罘	ldh
罨	ldj
恩	ldn
畸	lds
畴	ldt
辏	ldw
嬲	lev
罢	lfc
畦	lff
辕	lfk
罱	lfm
转	lfn
黑	lfo
园	lfq
署	lft
团	lft
圉	lfu
囤	lgb
轾	lgc
畏	lge
罡	lgh
畀	lgj
辐	lgk
辆	lgm
车	lgn
国	lgy
罪	lhd
罩	lhj
皿	lhn
辊	ljx
辑	lkb
圆	lkm
轵	lkw
圜	llg
田	lll
辋	lmu
辗	lna
罹	lnw
辚	loq
辖	lpd
畹	lpq
鸭	lqg
蜀	lqj
逻	lqp
囫	lqr
软	lqw
畈	lrc
堑	lrf
暂	lrj
錾	lrq
椠	lrs
轲	lsk
轿	ltd
轶	ltg
辂	ltk
略	ltk
轹	ltn
图	ltu
畔	lug
疃	luj
罾	lul
较	lur
轺	lvk
辎	lvl
轫	lvy
轸	lwe
输	lwg
界	lwj
轮	lwx
囹	lwy
累	lxi
毗	lxx
辙	lyc
罚	lyj
贼	mad
岈	mah
岽	mai
崂	map
岖	mar
典	maw
岌	mby
峄	mcg
贻	mck
峻	mcw
贿	mde
酆	mdh
崦	mdj
盎	mdl
颛	mdm
炭	mdo
鸯	mdq
崎	mds
髓	med
崩	mee
髁	mej
髑	mel
髅	meo
髂	mep
鹘	meq
髀	mer
骼	met
骰	mew
骸	mey
岐	mfc
峙	mff
巅	mfh
周	mfk
赎	mfn
嵌	mfq
赌	mft
财	mft
贱	mga
豳	mge
赇	mgi
同	mgk
屿	mgn
峡	mgu
帔	mhb
帱	mhd
帏	mhf
幅	mhg
帧	mhh
帽	mhj
帼	mhl
幞	mho
帕	mhr
帐	mht
幢	mhu
帆	mhw
峭	mie
嵴	miw
赐	mjq
岿	mjv
贶	mkq
崮	mld
崽	mln
崭	mlr
山	mmm
岘	mmq
岗	mmr
罂	mmt
婴	mmv
岷	mna
崛	mnb
嵋	mnh
剀	mnj
觊	mnm
凯	mnw
赆	mny
赃	mof
赕	moo
嶙	moq
嵝	mov
崇	mpf
贮	mpg
崆	mpw
购	mqc
赡	mqd
峋	mqj
岣	mqk
峁	mqt
峥	mqv
贩	mrc
崤	mrd
刚	mrj
嵬	mrq
网	mrr
岢	msk
崾	msv
崧	msw
账	mta
峰	mtd
赂	mtk
屹	mtn
贬	mtp
峨	mtr
嵊	mtu
巍	mtv
嵯	mua
嶂	muj
赔	muk
赠	mul
赚	muv
嵫	mux
罔	muy
赊	mwf
嵛	mwg
岚	mwr
肉	mww
崔	mwy
嶷	mxt
幽	mxx
崞	myb
彤	mye
嵩	mym
赅	myn
展	nae
惬	nag
懵	nal
屉	nan
怄	nar
懂	nat
殿	naw
慌	nay
孱	nbb
慑	nbc
屈	nbm
屙	nbs
憨	nbt
敢	nbt
惨	ncd
怪	ncf
怿	ncg
怡	nck
悛	ncw
惰	nda
恹	ndd
怀	ndh
剧	ndj
怖	ndm
忧	ndn
恢	ndo
愤	nfa
层	nfc
懦	nfd
恃	nff
慎	nfh
慰	nfi
迅	nfp
怃	nfq
屠	nft
悻	nfu
那	ngb
屋	ngc
情	nge
怔	ngh
恒	ngj
司	ngk
怦	ngu
愫	ngx
胥	nhe
遐	nhf
丑	nhg
蛋	nhj
鹛	nhq
收	nht
惧	nhw
疏	nhy
悄	nie
恍	nig
惝	nim
犀	nit
悭	njc
悍	njf
怛	njg
愠	njl
慢	njl
惕	njq
惺	njt
憬	njy
悒	nkc
忡	nkh
愕	nkk
臂	nku
翼	nla
惭	nlr
悃	nls
愣	nly
惴	nmd
惆	nmf
恫	nmg
刷	nmh
恻	nmj
恺	nmn
惘	nmu
巽	nna
毋	nnd
己	nng
书	nnh
局	nnk
乙	nnl
快	nnw
怩	nnx
羽	nny
惦	noh
慵	nov
屡	nov
恽	npl
惋	npq
忱	npq
懈	nqe
恂	nqj
惚	nqr
惶	nrg
愧	nrq
悚	nsk
懒	nsk
憷	nss
怵	nsy
怅	nta
悸	ntb
发	ntc
恬	ntd
忏	ntf
性	ntg
怍	nth
虱	ntj
属	ntk
恤	ntl
懊	ntm
屦	nto
履	ntt
悔	ntx
屏	nua
买	nud
惮	nuj
悦	nuk
憎	nul
羼	nuu
慊	nuv
悌	nux
悯	nuy
慨	nva
怊	nvk
怆	nwb
忪	nwc
戮	nwe
愉	nwg
惟	nwy
怫	nxj
惯	nxm
屁	nxx
忭	nyh
昼	nyj
咫	nyk
懔	nyl
忙	nyn
迟	nyp
恼	nyr
尽	nyu
翠	nyw
度	oac
廑	oak
席	oam
炬	oan
庶	oao
烧	oat
粪	oaw
鬯	obx
烃	oca
糁	ocd
糊	ode
庵	odj
烦	odm
燎	odu
庞	odx
粗	oeg
爝	oel
庾	oew
庋	ofc
糯	ofd
炜	ofn
庑	ofq
煤	ofs
烤	oft
炖	ogb
精	oge
粳	ogj
焐	ogk
炳	ogm
廒	ogq
业	ohh
焯	ohj
店	ohk
黻	oid
应	oig
黼	ois
炒	oit
爆	oja
焊	ojf
熳	ojl
煜	oju
燥	okk
炽	okw
烟	old
煨	olg
炯	omk
糈	onh
熠	onr
断	onr
废	ont
炔	onw
烬	ony
郯	oob
剡	ooj
火	ooo
糖	oov
烷	opf
煊	opg
熔	opw
底	oqa
燃	oqd
焰	oqe
粼	oqg
焕	oqm
炮	oqn
炊	oqw
灼	oqy
烯	ord
煌	org
庳	ort
麻	oss
烽	otd
糙	otf
炸	oth
烙	otk
燠	otm
烁	otn
燔	oto
烀	otu
烂	oud
燧	oue
料	ouf
糕	oug
焖	oun
廉	ouv
糍	oux
庸	ove
唐	ovh
康	ovi
煺	ovp
数	ovt
庚	ovw
炝	owb
烩	owf
府	owf
糇	own
庥	ows
粉	owv
座	oww
烨	owx
焓	owy
糨	oxk
庇	oxx
廓	oyb
炷	oyg
广	oyg
廪	oyl
炉	oyn
米	oyt
熵	oyu
粮	oyv
炕	oyw
炫	oyx
灬	oyy
宦	pah
寞	paj
宽	pam
寒	paw
宏	pdc
寡	pde
豁	pdh
寄	pds
寮	pdu
宠	pdx
宜	peg
宗	pfi
完	pfq
室	pgc
冢	pge
家	pge
宇	pgf
定	pgh
宣	pgj
富	pgk
寅	pgm
写	pgn
宝	pgy
寂	phi
宵	pie
幂	pjd
审	pjh
寓	pjm
冥	pju
宴	pjv
宫	pkk
郓	plb
寰	plg
甯	pne
逭	pnp
密	pnt
寥	pnw
之	ppp
剜	pqb
宛	pqb
冤	pqk
鸩	pqq
宾	prw
宅	pta
宪	ptf
牢	ptg
额	ptk
客	ptk
褡	pua
被	pub
裰	puc
褥	pud
实	pud
衫	pue
褚	puf
袜	pug
补	puh
裆	pui
裎	puk
裢	pul
袖	pum
裾	pun
裤	puo
袍	puq
裨	pur
襟	pus
袄	put
褙	puu
初	puv
裕	puw
襁	pux
褊	puy
案	pvs
窍	pwa
空	pwa
突	pwd
穷	pwe
罕	pwf
窥	pwg
窠	pwj
窝	pwk
帘	pwm
窟	pwn
窭	pwo
窕	pwq
窳	pwr
窗	pwt
究	pwv
容	pww
穹	pwx
鹤	pwy
祁	pyb
祷	pyd
祖	pye
