戒	aak
钇	qnn
钆	qnn
包	qnv
炙	qou
钬	qoy
多	qqu
勿	qre
铂	qrg
钉	qsh
匍	qsi
枭	qsu
铺	qsy
儿	qtn
勹	qtn
匀	qud
锌	quh
钔	qun
刍	qvf
钕	qvg
银	qvy
凫	qwb
欠	qwu
訇	qyd
久	qyi
勺	qyi
钫	qyt
皂	rab
扛	rag
找	ray
氖	rbe
邱	rbh
凶	rbk
扔	rbt
披	rby
反	rci
把	rcn
拓	rdg
拥	reh
皇	rgf
扶	rgy
看	rhf
扯	rhg
扑	rhy
泉	riu
刈	rjh
氘	rjk
扣	rkg
氚	rkk
押	rlh
抽	rmg
岳	rmj
氙	rmk
扎	rnn
扩	rot
迫	rpd
近	rpk
拍	rrg
折	rrh
爻	rru
打	rsh
杀	rsu
捕	rsy
氕	rte
乒	rtr
拉	rug
氧	ruk
扪	run
扫	rvg
兵	rwu
扒	rwy
拇	rxy
斥	ryi
乓	ryu
杠	sag
李	sbf
杷	scn
权	scy
枯	sdg
柘	sdg
桕	seg
杉	set
杜	sfg
柑	sfg
杆	sfh
村	sfy
本	sgd
酉	sgd
枉	sgg
丁	sgh
相	shg
朴	shy
杳	sjf
覃	sjj
可	skd
束	skd
杏	skf
柬	sld
柙	slh
柚	smg
贾	smu
栩	sng
札	snn
杞	snn
杰	sou
粟	sou
逋	spi
柏	srg
析	srh
栖	ssg
栗	ssu
林	ssy
枚	sty
样	suh
梓	suh
要	svf
根	svy
机	swn
术	syi
枋	syt
升	tak
乇	tav
季	tbf
秀	tbr
彼	tby
笆	tcb
么	tcu
私	tcy
舌	tdd
夭	tdi
矢	tdu
笔	teb
务	ter
壬	tfd
竺	tff
秆	tfh
朱	tfi
午	tfj
竿	tfj
千	tfk
生	tgd
失	tgi
年	tgj
牛	tgk
自	thd
处	thi
香	tjf
利	tjh
各	tkf
和	tkg
血	tld
备	tlf
笛	tmf
乞	tnb
秋	toy
乏	tpu
条	tsu
笠	tuf
徉	tuh
舟	tui
冬	tuu
秉	tvd
委	tvf
很	tvy
秃	twb
每	txu
入	tyi
彷	tyt
差	uaf
并	uaj
戕	uay
闻	ubd
疲	ubi
疗	ubk
疖	ubk
疤	ucv
闫	udd
兰	udf
头	udi
关	udu
状	udy
痈	uek
疳	ufd
壮	ufg
斗	ufk
闰	ugd
闩	ugd
半	ugk
着	uhf
丫	uhk
冰	uiy
间	ujd
音	ujf
闽	uji
章	ujj
问	ukd
闸	ulk
疝	umk
翔	ung
翊	ung
闷	uni
羌	unv
交	uru
闲	usi
疔	usk
亲	usu
产	ute
痒	uuk
妾	uvf
妆	uvg
痕	uvi
闪	uwi
北	uxn
冫	uyg
闵	uyi
好	vbg
即	vbh
她	vbn
奶	vbt
奴	vcy
姑	vdg
垦	vff
奸	vfh
寻	vfu
妹	vfy
聿	vgk
肀	vhk
隶	vii
录	viu
旭	vjd
旮	vjf
召	vkf
如	vkg
甾	vlf
妯	vmg
妃	vnn
刀	vnt
恳	vnu
灵	vou
退	vpi
巡	vpv
杂	vsu
尹	vte
九	vtn
妇	vvg
姆	vxy
刃	vyi
丸	vyi
妨	vyt
仝	waf
伐	way
仓	wbb
仔	wbg
佴	wbg
他	wbn
仍	wbt
凤	wci
公	wcu
殳	wcu
仅	wcy
估	wdg
仨	wdg
伏	wdy
佣	weh
仂	wet
仁	wfg
仕	wfg
什	wfh
付	wfy
全	wgf
伍	wgg
企	whf
个	whj
仆	why
氽	wiu
介	wjj
佃	wlg
仙	wmh
亿	wnn
伙	woy
伯	wrg
风	wri
父	wru
仃	wsh
朵	wsu
休	wsy
亻	wth
几	wtn
八	wty
位	wug
佯	wuh
们	wun
仇	wvn
分	wvr
仉	wwn
从	wwy
仑	wxb
化	wxn
信	wyg
隹	wyg
凡	wyi
仿	wyt
红	xag
弭	xbg
弛	xbn
弘	xcy
幼	xet
彖	xeu
绀	xfg
纣	xfy
引	xhh
糸	xiu
旨	xjf
弗	xjk
细	xlg
贯	xmu
纪	xnn
幻	xnn
纩	xot
乡	xte
匕	xtn
比	xxn
纺	xyt
纹	xyy
讧	yag
享	ybf
邡	ybh
亨	ybj
诂	ydg
衣	yeu
哀	yeu
计	yfh
讦	yfh
讨	yfy
主	ygd
让	yhg
卞	yhu
讣	yhy
京	yiu
刘	yjh
齐	yjj
吝	ykf
训	ykh
亩	ylf
讪	ymh
户	yne
诩	yng
记	ynn
亡	ynv
亦	you
这	ypi
义	yri
订	ysh
放	yty
详	yuh
良	yvi
亢	ywb
讥	ywn
认	ywy
玄	yxu
亠	yyg
讠	yyn
访	yyt
